,product_id,title,link,discount_price,regular_price,brand
230,111437,"Kitten корм для здорового роста котят в возрасте от 1 до 12 месяцев, беременных и кормящих кошек, с курицей, 10кг",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/korm-dlya-kotyat-s-kuricey.html?offer=111438,9379,9379,Monge
231,169200,"Adult Cухой корм для взрослых кошек с индейкой и яблоком, 400 гр.",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/korm-suhoy-dlya-vzroslyh-koshek-s-indeykoy-i-yablokom-pak-0-4kg.html?offer=169201,408,408,BOWL WOW
232,124448,"Appetite Control Care корм сухой для кошек для контроля аппетита, 400 г",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/korm-suhoy-dlya-koshek-appetayt-kontrol-kea.html?offer=124450,3115,3115,Royal Canin
233,104616,"Science Plan Сухой корм для взрослых кошек для поддержания жизненной энергии и иммунитета, с ягненком, 3 кг",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/suhoy-korm-hills-science-plan-dlya-vzroslyh-koshek-dlya-podderzhaniya-zhiznennoy-energii-i-immuniteta-s-yagnenkom-3-kg.html?offer=104617,4869,4869,Hills
234,164156,"Care Anti-hairball Сухой корм для кошек, с белой рыбой и индейкой, 400 гр.",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/korm-suhoy-dlya-vzroslyh-koshek-s-beloy-ryboy-i-indeykoy-400g.html?offer=164064,529,529,Brit
235,131681,"Nature Elements сухой корм для взрослых кошек с лососем, 200 г",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/pro-plan-natel-kosh-kozhisherst-los-10x200g.html?offer=131683,1935,1935,PRO PLAN®
236,140889,"Pro Meat Корм сухой для стерилизованных кошек c кроликом 0,4кг",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/korm-suhoy-dlya-sterilizovannyh-koshek-s-krolikom.html?offer=140890,364,519,Мираторг
237,45659,"Kitten Healthy Start Сухой корм для котят от 1 до 12 месяцев, с курицей, 400 гр.",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/Eukanuba_Kitten_Complete_suhoy_korm_dlya_kotyat_kuritsapechen.html?offer=45660,465,465,Eukanuba
238,170025,"Сухой корм для котят, с куриной грудкой, 1,5 кг",https://4lapy.ru/catalog/koshki/tovary-dlya-kotyat/korm-zaveli-kotenka/korm-suhoy-dlya-kotyat-s-kurinoy-grudkoy-1-5kg.html?offer=170026,1190,1699,Мираторг
239,164151,"Care Adult Сухой корм для привередливых кошек, с индейкой и уткой, 400 гр.",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/korm-suhoy-dlya-vzroslyh-priveredlivyh-koshek-s-indeykoy-i-utkoy-400g.html?offer=164054,1939,1939,Brit
240,66359,"Persian Kitten Сухой корм для котят персидской породы в возрасте до 12 месяцев, 400 гр.",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/Korm_suhoy_Royal_Kanin_dlya_kotyat_Kitten_Persian_32_persidskaya.html?offer=31126,615,615,Royal Canin
241,157360,"Adult Сухой корм для взрослых кошек, с курицей и цельными злаками, 9,75 кг",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/korm-suhoy-dlya-vzroslyh-koshek-s-kuricey-i-celnymi-zlakami-mesh-9-75kg.html?offer=157361,6187,6187,Purina ONE®
242,168852,"Adult Сухой корм для кошек, с тунцом, 900 гр.",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/korm-suhoy-dlya-koshek-s-tuncom-2kg.html?offer=168854,489,575,Chat&Chat
243,168849,"Adult Сухой корм для кошек, с курицей и горохом, 900 гр.",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/korm-suhoy-dlya-koshek-s-kuricey-i-gorohom-2kg.html?offer=168850,784,1045,Chat&Chat
