,product_id,title,link,onlineRegular,onlineDiscount,prices_shop,brand
91,59575,"Кофе Illy Etiopia arabica selection в зернах, 250г",/products/illy-arabika-selekshen-efiopiya-250-g,1149,0,"[(1149, 'от 1 шт')]","('ILLY',)"
92,59570,"Кофе Illy Guatemala arabica selection в зернах, 250г",/products/v-zernah-illy-guatemala-zh-b-250-g,1149,0,"[(1149, 'от 1 шт')]","('ILLY',)"
93,123862,"Кофе Kimbo Caffe Crema Dolce Medium в зернах, 1кг",/products/1kg-kimbo-caffe-crema-dolce-medium,2159,1999,"[(1899, 'от 1 шт')]","('KIMBO',)"
94,44940,"Кофе Dallmayr Espresso d`Oro в зернах, 1кг",/products/art-44940,2359,1889,"[(1799, 'от 1 шт')]","('DALLMAYR',)"
95,218716,"Кофе Poetti Leggenda Oro в зернах, 1кг",/products/1kg-kofe-poetti-leggenda-oro-v-zernah,1669,1399,"[(1389, 'от 1 шт')]","('POETTI',)"
96,226340,"Кофе Lebo Extra в зернах, 1кг",/products/1kg-kofe-lebo-extra-v-zernah,1419,1190,"[(1149, 'от 1 шт')]","('LEBO',)"
97,599512,"Кофе Ambassador Platinum в зернах, 1кг",/products/ambassador-naturalnyj-zharenyj-platinum-1kg,1189,999,"[(999, 'от 1 шт')]","('AMBASSADOR',)"
98,57058,"Напиток кофейный MacCoffee The Original coffee mix 3 в 1 растворимый 100 пакетиков, 2кг",/products/maccoffee-napitok-kofejnyj-porcionnyj-the-original-coffee-mix-3v1-100-20g,1429,1349,"[(1199, 'от 1 шт'), (1139, 'от 10 шт')]","('MACCOFFEE',)"
99,215682,"Кофе Jardin Oro в зернах, 1кг",/products/1kg-kofe-jardin-original-oro-zernovoy,1699,1449,"[(1339, 'от 1 шт')]","('JARDIN',)"
100,531031,"Кофе Alta Roma Intenso в зернах, 1кг",/products/kofe-alta-roma-intenso-v-zernakh-1kg,1339,1269,"[(1249, 'от 1 шт')]","('ALTAROMA',)"
101,376494,"Кофе Kimbo Extra Cream в зернах, 1кг",/products/kimbo-extra-cream-v-zernah-1-kg,1789,1699,"[(1649, 'от 1 шт')]","('KIMBO',)"
102,528358,"Кофе Bushido Black Katana растворимый, 100г",/products/bushido-sublimirovannyj-black-katana-100g,1039,849,"[(799, 'от 1 шт')]","('BUSHIDO',)"
103,235414,"Кофе Miscela D'Oro Espresso Gran Crema в зернах, 1кг",/products/kofe-miscela-doro-espresso-gran-crema-v-zernah-1kg,2649,2499,"[(2449, 'от 1 шт')]","(""MISCELAD'ORO"",)"
104,245277,"Кофе Fresco Espresso Italiano зерновой, 900г",/products/kofe-fresco-espresso-italiano-zernovoy-900g,1049,949,"[(899, 'от 1 шт')]","('FRESCO',)"
105,598959,"Кофе Egoiste Noir растворимый сублимированный, 100г",/products/egoiste-sublimirovannyj-noir-100g,599,469,"[(449, 'от 1 шт')]","('EGOISTE',)"
106,553579,"Кофе Egoiste Espresso натуральный молотый жареный, 250г",/products/art-553579,499,0,"[(449, 'от 1 шт'), (409, 'от 12 шт')]","('EGOISTE',)"
107,637203,"Кофе в капсулах L’or Espresso Lungo Profondo для кофемашин Nespresso 10шт, 52г",/products/l-rsquoor-lungo-profondo-52-g,399,379,"[(349, 'от 1 шт')]","(""L'OR"",)"
108,230305,"Кофе Monarch Original растворимый, 270г",/products/kofe-monarch-original-rastvorimyy-270g,749,699,"[(649, 'от 1 шт')]","('MONARCH',)"
109,238553,"Кофе Monarch Original растворимый (1.8г x 30шт), 54г",/products/kofe-monarch-original-rastvorimyy-18g-x-30sht-54g,439,269,"[(269, 'от 1 шт')]","('MONARCH',)"
110,224739,"Кофе Monarch Milligrano растворимый с добавлением молотого, 120г",/products/120g-kofe-monarch-miligrano-rastv-c-dob-molotogo,399,339,"[(329, 'от 1 шт')]","('MONARCH',)"
111,635596,"Кофе Jardin Bravo Бразилия в зернах, 1кг",/products/jardin-bravo-braziliya-1kg,2389,1399,"[(1339, 'от 1 шт')]","('JARDIN',)"
112,246067,"Кофе Alta Roma Blend №3, 1кг",/products/1kg-kofe-alta-roma-blend-3-zernovoy,1769,1499,"[(1499, 'от 1 шт'), (1299, 'от 6 шт')]","('ALTAROMA',)"
113,223118,"Кофе в капсулах Absolut Drive Latte Macchiato with caramel для кофемашин Dolce Gusto 16шт, 168г",/products/8shth6g8shth15g-kofe-absolut-latte-karamel-kapsuly-dg,469,419,"[(389, 'от 1 шт')]","('ABSOLUT',)"
114,526503,"Кофе Fresco Arabica Doppio молотый в растворимом, 100г",/products/fresco-naturalnyj-s-dobavleniem-naturalnogo-zharenogo-molotogo-arabica-doppio-100g,319,269,"[(269, 'от 1 шт')]","('FRESCO',)"
115,232413,"Кофе Жокей триумф растворимый (2г x 100шт), 200г",/products/100shth2g-kofe-zhokey-triumf-rastvorimyy,699,0,"[(679, 'от 1 шт')]","('ЖОКЕЙ',)"
116,469363,"Кофе Jardin Guatemala Atitlan натуральный растворимый, 95г",/products/jardin-guatemala-atitlan-naturalnyj-95-g,251,229,"[(229, 'от 1 шт'), (203, 'от 24 шт')]","('JARDIN',)"
117,228232,"Кофе Piazza del Caffe Espresso Forte в зернах, 1кг",/products/1kg-kofe-piazza-del-caffe-espresso-forte-zerno,1179,889,"[(889, 'от 1 шт')]","('PIAZZADELCAFFE',)"
118,133724,"Напиток кофейный Nescafe Classic 3в1 20 пакетиков, 290г",/products/20x145g-kofejnyj-napitok-nescafe-3v1-klassik,309,249,"[(259, 'от 1 шт'), (214, 'от 10 шт')]","('NESCAF',)"
119,629008,"Кофе Kimbo Intenso в зернах, 1кг",/products/kimbo-intenso-1kg,1609,1399,"[(1349, 'от 1 шт')]","('KIMBO',)"
120,75973,"Кофе Bushido Specialty молотый, 227г",/products/art-75973,739,599,"[(549, 'от 1 шт')]","('BUSHIDO',)"
121,75962,"Кофе Bushido Specialty в зернах, 227г",/products/bushido-specialty-227g-75962,739,639,"[(549, 'от 1 шт')]","('BUSHIDO',)"
